EmpID, ProjectID, DateFrom, DateTo
143, 1, 2013-11-01, 2014-01-05
102, 1, 2013-12-15, 2014-03-01
218, 10, 2012-05-16, NULL
143, 10, 2009-01-01, 2011-04-27
314, 3, 2014-01-01, 2016-06-30
218, 12, 2013-10-20, 2014-02-15
199, 10, 2015-01-01, 2020-12-31
102, 4, 2020-01-10, 2022-08-01
143, 4, 2021-06-01, 2023-05-15
314, 15, 2021-01-01, 2024-01-01
218, 15, 2022-03-01, NULL
199, 12, 2014-01-10, 2014-05-20
314, 12, 2013-11-10, 2014-04-01
102, 2, 2011-05-01, 2013-05-01
143, 2, 2014-01-10, 2015-03-01
